ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade
TRX00062,2025-06-05,CUST373,Box Anne with an E (DVD),Entretenimento,99.9,1
TRX00063,2025-03-20,CUST127,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00064,2025-07-25,CUST448,Camiseta Rick and Morty,Vestuário,60.0,4
TRX00065,2025-08-18,CUST394,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00066,2025-03-24,CUST438,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00067,2025-01-25,CUST256,Moletom BTS Tour,Vestuário,150.0,3
TRX00068,2025-01-31,CUST311,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00069,2025-12-18,CUST246,Camiseta Rick and Morty,Vestuário,60.0,4
TRX00070,2025-10-22,CUST067,Moletom BTS Tour,Vestuário,150.0,3
TRX00071,2025-05-04,CUST207,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00072,2025-10-28,CUST091,Pelúcia Freddy Fazbear,Brinquedos,120.5,3
TRX00073,2025-02-01,CUST408,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00074,2025-07-20,CUST128,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00075,2025-10-09,CUST126,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00076,2025-07-01,CUST088,Vinil de Blues Clássico,Música,210.0,4
TRX00077,2025-10-05,CUST164,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00078,2025-10-05,CUST007,Camiseta Rick and Morty,Vestuário,60.0,2
TRX00079,2025-04-23,CUST046,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00080,2025-01-03,CUST346,Pelúcia Freddy Fazbear,Brinquedos,120.5,3
TRX00081,2025-04-11,CUST114,Moletom BTS Tour,Vestuário,150.0,4
TRX00082,2025-11-05,CUST302,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00083,2025-03-14,CUST045,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00084,2025-06-12,CUST154,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00085,2025-04-09,CUST126,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00086,2025-10-19,CUST327,Vinil de Blues Clássico,Música,210.0,3
TRX00087,2025-11-21,CUST051,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00088,2025-06-01,CUST266,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00089,2025-03-31,CUST343,Vinil de Blues Clássico,Música,210.0,1
TRX00090,2025-04-19,CUST065,Moletom BTS Tour,Vestuário,150.0,4
TRX00091,2025-11-26,CUST357,Mousepad Genshin Impact,Acessórios Gamer,45.0,1
TRX00092,2025-09-24,CUST461,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00093,2025-07-16,CUST293,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00094,2025-02-23,CUST385,Álbum Sabrina Carpenter,Música,180.0,3
TRX00095,2025-07-05,CUST045,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00096,2025-02-22,CUST332,Vinil de Blues Clássico,Música,210.0,3
TRX00097,2025-09-09,CUST401,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00098,2025-11-30,CUST270,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00099,2025-04-28,CUST366,Panetone Trufado de Chocolate,Alimentos,85.9,2
TRX00100,2025-01-10,CUST135,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00101,2025-05-18,CUST012,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00102,2025-02-24,CUST275,Álbum Sabrina Carpenter,Música,180.0,3
TRX00103,2025-10-20,CUST163,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00104,2025-12-07,CUST449,Vinil de Blues Clássico,Música,210.0,3
TRX00105,2025-05-29,CUST150,Vinil de Blues Clássico,Música,210.0,1
TRX00106,2025-12-09,CUST493,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00107,2025-11-04,CUST325,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00108,2025-05-01,CUST392,Vinil de Blues Clássico,Música,210.0,1
TRX00109,2025-05-04,CUST032,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00110,2025-05-17,CUST266,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00111,2025-07-27,CUST118,Álbum Sabrina Carpenter,Música,180.0,2
TRX00112,2025-09-07,CUST330,Álbum Sabrina Carpenter,Música,180.0,3
TRX00113,2025-11-23,CUST359,Box Anne with an E (DVD),Entretenimento,99.9,1
TRX00114,2025-03-12,CUST127,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00115,2025-12-22,CUST050,Pelúcia Freddy Fazbear,Brinquedos,120.5,3
TRX00116,2025-03-21,CUST479,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00117,2025-06-22,CUST152,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00118,2025-07-20,CUST180,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00119,2025-04-16,CUST235,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00120,2025-12-16,CUST095,Moletom BTS Tour,Vestuário,150.0,1
TRX00121,2025-08-24,CUST397,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00122,2025-01-16,CUST454,Álbum Sabrina Carpenter,Música,180.0,3
TRX00123,2025-12-23,CUST278,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00124,2025-05-12,CUST139,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00125,2025-04-28,CUST023,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00126,2025-10-06,CUST397,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00127,2025-10-31,CUST107,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00128,2025-01-03,CUST171,Álbum Sabrina Carpenter,Música,180.0,2
TRX00129,2025-03-30,CUST382,Mousepad Genshin Impact,Acessórios Gamer,45.0,1
TRX00130,2025-04-11,CUST345,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00131,2025-05-28,CUST491,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00132,2025-03-21,CUST147,Álbum Sabrina Carpenter,Música,180.0,2
TRX00133,2025-02-19,CUST193,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00134,2025-04-24,CUST161,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00135,2025-04-08,CUST402,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00136,2025-06-14,CUST115,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00137,2025-04-11,CUST305,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00138,2025-02-12,CUST110,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00139,2025-09-09,CUST310,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00140,2025-08-21,CUST144,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00141,2025-09-28,CUST364,Vinil de Blues Clássico,Música,210.0,1
TRX00142,2025-09-10,CUST001,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00143,2025-09-11,CUST228,Moletom BTS Tour,Vestuário,150.0,4
TRX00144,2025-11-07,CUST279,Moletom BTS Tour,Vestuário,150.0,4
TRX00145,2025-10-27,CUST315,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00146,2025-10-29,CUST173,Álbum Sabrina Carpenter,Música,180.0,4
TRX00147,2025-08-19,CUST254,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00148,2025-08-31,CUST126,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00149,2025-12-03,CUST407,Panetone Trufado de Chocolate,Alimentos,85.9,2
TRX00150,2025-10-31,CUST260,Moletom BTS Tour,Vestuário,150.0,4
TRX00151,2025-07-15,CUST398,Moletom BTS Tour,Vestuário,150.0,2
TRX00152,2025-04-05,CUST095,Box Anne with an E (DVD),Entretenimento,99.9,1
TRX00153,2025-12-08,CUST006,Moletom BTS Tour,Vestuário,150.0,2
TRX00154,2025-10-17,CUST270,Moletom BTS Tour,Vestuário,150.0,4
TRX00155,2025-06-25,CUST329,Vinil de Blues Clássico,Música,210.0,3
TRX00156,2025-06-25,CUST219,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00157,2025-01-04,CUST376,Mousepad Genshin Impact,Acessórios Gamer,45.0,2
TRX00158,2025-04-17,CUST064,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00159,2025-11-17,CUST344,Moletom BTS Tour,Vestuário,150.0,1
TRX00160,2025-10-22,CUST293,Álbum Sabrina Carpenter,Música,180.0,3
TRX00161,2025-01-27,CUST167,Box Anne with an E (DVD),Entretenimento,99.9,1
TRX00162,2025-06-02,CUST472,Vinil de Blues Clássico,Música,210.0,3
TRX00163,2025-12-29,CUST355,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00164,2025-07-11,CUST209,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00165,2025-06-19,CUST094,Vinil de Blues Clássico,Música,210.0,4
TRX00166,2025-11-28,CUST135,Álbum Sabrina Carpenter,Música,180.0,2
TRX00167,2025-07-30,CUST320,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00168,2025-01-23,CUST216,Vinil de Blues Clássico,Música,210.0,1
TRX00169,2025-08-18,CUST462,Camiseta Rick and Morty,Vestuário,60.0,4
TRX00170,2025-06-08,CUST403,Vinil de Blues Clássico,Música,210.0,1
TRX00171,2025-10-10,CUST228,Box Anne with an E (DVD),Entretenimento,99.9,1
TRX00172,2025-03-17,CUST152,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00173,2025-12-16,CUST254,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00174,2025-01-08,CUST138,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00175,2025-08-07,CUST467,Álbum Sabrina Carpenter,Música,180.0,2
TRX00176,2025-09-16,CUST083,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00177,2025-05-18,CUST217,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00178,2025-03-24,CUST488,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00179,2025-01-17,CUST330,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00180,2025-05-14,CUST436,Moletom BTS Tour,Vestuário,150.0,4
TRX00181,2025-12-25,CUST142,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00182,2025-10-02,CUST110,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00183,2025-11-19,CUST455,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00184,2025-10-21,CUST382,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00185,2025-11-01,CUST103,Moletom BTS Tour,Vestuário,150.0,3
TRX00186,2025-06-04,CUST426,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00187,2025-06-13,CUST175,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00188,2025-06-12,CUST299,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00189,2025-08-23,CUST063,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00190,2025-09-09,CUST192,Vinil de Blues Clássico,Música,210.0,3
TRX00191,2025-06-11,CUST334,Moletom BTS Tour,Vestuário,150.0,2
TRX00192,2025-10-28,CUST101,Moletom BTS Tour,Vestuário,150.0,2
TRX00193,2025-04-01,CUST432,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00194,2025-09-16,CUST167,Camiseta Rick and Morty,Vestuário,60.0,4
TRX00195,2025-10-16,CUST226,Álbum Sabrina Carpenter,Música,180.0,4
TRX00196,2025-12-22,CUST074,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00197,2025-08-01,CUST293,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00198,2025-04-30,CUST252,Moletom BTS Tour,Vestuário,150.0,2
TRX00199,2025-08-20,CUST378,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00200,2025-11-08,CUST350,Vinil de Blues Clássico,Música,210.0,3
TRX00201,2025-12-13,CUST014,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00202,2025-09-07,CUST449,Pelúcia Freddy Fazbear,Brinquedos,120.5,3
TRX00203,2025-05-21,CUST113,Pelúcia Freddy Fazbear,Brinquedos,120.5,2
TRX00204,2025-09-23,CUST073,Moletom BTS Tour,Vestuário,150.0,1
TRX00205,2025-10-31,CUST075,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00206,2025-06-02,CUST177,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00207,2025-09-22,CUST440,Álbum Sabrina Carpenter,Música,180.0,4
TRX00208,2025-07-14,CUST336,Álbum Sabrina Carpenter,Música,180.0,2
TRX00209,2025-06-14,CUST309,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00210,2025-10-14,CUST456,Álbum Sabrina Carpenter,Música,180.0,1
TRX00211,2025-12-15,CUST215,Camiseta Rick and Morty,Vestuário,60.0,3
TRX00212,2025-08-01,CUST168,Moletom BTS Tour,Vestuário,150.0,1
TRX00213,2025-04-16,CUST186,Álbum Sabrina Carpenter,Música,180.0,2
TRX00214,2025-03-16,CUST421,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00215,2025-09-11,CUST003,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00216,2025-02-26,CUST320,Álbum Sabrina Carpenter,Música,180.0,3
TRX00217,2025-07-24,CUST011,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00218,2025-10-03,CUST365,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00219,2025-07-03,CUST176,Vinil de Blues Clássico,Música,210.0,4
TRX00220,2025-08-26,CUST412,Álbum Sabrina Carpenter,Música,180.0,1
TRX00221,2025-10-14,CUST001,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00222,2025-03-31,CUST246,Moletom BTS Tour,Vestuário,150.0,1
TRX00223,2025-11-16,CUST158,Álbum Sabrina Carpenter,Música,180.0,3
TRX00224,2025-05-31,CUST334,Álbum Sabrina Carpenter,Música,180.0,1
TRX00225,2025-06-14,CUST103,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00226,2025-07-03,CUST096,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00227,2025-06-28,CUST151,Álbum Sabrina Carpenter,Música,180.0,4
TRX00228,2025-11-13,CUST148,Vinil de Blues Clássico,Música,210.0,4
TRX00229,2025-02-22,CUST174,Panetone Trufado de Chocolate,Alimentos,85.9,2
TRX00230,2025-08-19,CUST063,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00231,2025-06-22,CUST103,Pelúcia Freddy Fazbear,Brinquedos,120.5,2
TRX00232,2025-07-09,CUST315,Vinil de Blues Clássico,Música,210.0,1
TRX00233,2025-10-04,CUST069,Moletom BTS Tour,Vestuário,150.0,3
TRX00234,2025-02-04,CUST445,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00235,2025-01-29,CUST430,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00236,2025-12-19,CUST062,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00237,2025-11-16,CUST157,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00238,2025-02-10,CUST423,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00239,2025-04-04,CUST359,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00240,2025-12-27,CUST479,Mousepad Genshin Impact,Acessórios Gamer,45.0,1
TRX00241,2025-06-05,CUST321,Moletom BTS Tour,Vestuário,150.0,1
TRX00242,2025-03-24,CUST005,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00243,2025-11-18,CUST466,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00244,2025-08-29,CUST341,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00245,2025-04-13,CUST085,Vinil de Blues Clássico,Música,210.0,4
TRX00246,2025-08-26,CUST072,Pelúcia Freddy Fazbear,Brinquedos,120.5,3
TRX00247,2025-05-09,CUST075,Vinil de Blues Clássico,Música,210.0,4
TRX00248,2025-04-05,CUST240,Álbum Sabrina Carpenter,Música,180.0,1
TRX00249,2025-10-04,CUST129,Moletom BTS Tour,Vestuário,150.0,2
TRX00250,2025-09-27,CUST068,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00251,2025-09-25,CUST196,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00252,2025-05-07,CUST103,Álbum Sabrina Carpenter,Música,180.0,1
TRX00253,2025-01-01,CUST260,Pelúcia Freddy Fazbear,Brinquedos,120.5,2
TRX00254,2025-08-20,CUST401,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00255,2025-01-13,CUST101,Vinil de Blues Clássico,Música,210.0,4
TRX00256,2025-05-15,CUST228,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00257,2025-09-27,CUST043,Mousepad Genshin Impact,Acessórios Gamer,45.0,1
TRX00258,2025-03-09,CUST158,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00259,2025-01-02,CUST247,Moletom BTS Tour,Vestuário,150.0,3
TRX00260,2025-01-15,CUST487,Álbum Sabrina Carpenter,Música,180.0,1
TRX00261,2025-12-30,CUST476,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00262,2025-06-24,CUST068,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00263,2025-04-08,CUST072,Álbum Sabrina Carpenter,Música,180.0,2
TRX00264,2025-06-03,CUST338,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00265,2025-11-20,CUST006,Mousepad Genshin Impact,Acessórios Gamer,45.0,1
TRX00266,2025-08-26,CUST183,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00267,2025-03-29,CUST499,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00268,2025-08-13,CUST154,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00269,2025-09-25,CUST320,Camiseta Rick and Morty,Vestuário,60.0,3
TRX00270,2025-01-17,CUST413,Camiseta Rick and Morty,Vestuário,60.0,2
TRX00271,2025-05-08,CUST196,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00272,2025-09-23,CUST352,Álbum Sabrina Carpenter,Música,180.0,3
TRX00273,2025-08-09,CUST192,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00274,2025-11-18,CUST199,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00275,2025-04-25,CUST438,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00276,2025-02-15,CUST120,Álbum Sabrina Carpenter,Música,180.0,3
TRX00277,2025-12-11,CUST262,Camiseta Rick and Morty,Vestuário,60.0,3
TRX00278,2025-12-16,CUST415,Vinil de Blues Clássico,Música,210.0,4
TRX00279,2025-06-25,CUST134,Box Anne with an E (DVD),Entretenimento,99.9,2
TRX00280,2025-08-03,CUST375,Moletom BTS Tour,Vestuário,150.0,4
TRX00281,2025-02-24,CUST500,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00282,2025-11-26,CUST180,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00283,2025-01-21,CUST142,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00284,2025-12-05,CUST150,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00285,2025-02-06,CUST248,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00286,2025-11-28,CUST009,Camiseta Rick and Morty,Vestuário,60.0,4
TRX00287,2025-05-19,CUST183,Vinil de Blues Clássico,Música,210.0,1
TRX00288,2025-09-10,CUST012,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00289,2025-05-23,CUST284,Moletom BTS Tour,Vestuário,150.0,1
TRX00290,2025-10-25,CUST464,Moletom BTS Tour,Vestuário,150.0,2
TRX00291,2025-08-11,CUST383,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00292,2025-01-27,CUST320,Box Anne with an E (DVD),Entretenimento,99.9,4
TRX00293,2025-09-05,CUST310,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00294,2025-02-28,CUST219,Vinil de Blues Clássico,Música,210.0,4
TRX00295,2025-04-18,CUST367,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00296,2025-07-05,CUST372,Vinil de Blues Clássico,Música,210.0,3
TRX00297,2025-06-07,CUST323,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00298,2025-08-07,CUST492,Mousepad Genshin Impact,Acessórios Gamer,45.0,2
TRX00299,2025-01-01,CUST355,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00300,2025-09-12,CUST048,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00301,2025-05-10,CUST013,Vinil de Blues Clássico,Música,210.0,4
TRX00302,2025-09-22,CUST019,Moletom BTS Tour,Vestuário,150.0,3
TRX00303,2025-09-14,CUST297,Mousepad Genshin Impact,Acessórios Gamer,45.0,2
TRX00304,2025-12-03,CUST297,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00305,2025-04-12,CUST290,Camiseta Rick and Morty,Vestuário,60.0,3
TRX00306,2025-08-13,CUST146,Álbum Sabrina Carpenter,Música,180.0,1
TRX00307,2025-06-24,CUST154,Álbum Sabrina Carpenter,Música,180.0,4
TRX00308,2025-05-11,CUST233,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00309,2025-11-13,CUST487,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00310,2025-08-21,CUST395,Vinil de Blues Clássico,Música,210.0,4
TRX00311,2025-01-25,CUST101,Camiseta Rick and Morty,Vestuário,60.0,2
TRX00312,2025-03-05,CUST447,Moletom BTS Tour,Vestuário,150.0,3
TRX00313,2025-03-24,CUST255,Camiseta Rick and Morty,Vestuário,60.0,1
TRX00314,2025-08-07,CUST065,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00315,2025-06-29,CUST298,Álbum Sabrina Carpenter,Música,180.0,2
